CHOL(386),COCA(2005),ESCA(514),LIHC(1163),PAAD(389),STAD(928),3149 all,44 common,cooccurence(5955)
,ITGAM,,,,,SOCS2,,CTSL
,JAZF1,,,,,SP5,,ULBP2
,KCNK9,,,,,SPDEF,,TNFSF9
,KCNN4,,,,,SSTR5,,NT5E
,KCNQ1OT1,,,,,STK31,,ZNF559
,LIPC,,,,,STX1A,,RBP4
,LTB,,,,,SULF1,,ZNF177
,LTBP4,,,,,SUV39H1,,FADS1
,LY6D,,,,,TERC,,ANXA5
,LYPD3,,,,,TGFB1I1,,ALDH1A3
,MAD2L2,,,,,TGFBI,,F2R
,MAGI2,,,,,TYRO3,,GATA6
,MAP2K6,,,,,VEPH1,,CPEB1
,MEF2C,,,,,WISP1,,WDR83
,MEIS1,,,,,XCR1,,PLCG1
,MEST,,,,,ABCA7,,TRPV1
,MMP28,,,,,ADAMTS12,,TPM1
,MORF4,,,,,AMER1,,RAPGEF1
,MS4A12,,,,,ASAP1,,IGFBP4
,MYEOV,,,,,CD109,,VPS35
,MYLK,,,,,CELSR1,,VPS54
,MYO1A,,,,,CELSR2,,VPS33A
,NAA10,,,,,CELSR3,,VPS13C
,NFE2,,,,,CHD1,,VPS37B
,NKX2-3,,,,,CHD4,,VPS4B
,NOB1,,,,,CHD7,,VPS37D
,NR3C1,,,,,CHD8,,VPS13B
,NR5A2,,,,,CIT,,VPS13A
,OGN,,,,,CNTN6,,VPS41
,ORM1,,,,,DIDO1,,PIP5KL1
,PALB2,,,,,DMD,,ALOX5
,PALM,,,,,EDNRB,,PIP
,PAPSS2,,,,,FLT4,,YY1
,PDE3A,,,,,MAGI1,,ANXA6
,PHLDA1,,,,,MAP1A,,PDGFD
,PITX1,,,,,MAP1B,,INHBA
,PLA2G10,,,,,MDC1,,COL6A3
,PLAC1,,,,,MYO10,,AMACR
,PLK4,,,,,NAV2,,ASNS
,PLS3,,,,,POLQ,,EGR2
,PRC1,,,,,PTPRK,,ZIC1
,PRICKLE1,,,,,PTPRZ1,,GSPT1
,PRICKLE2,,,,,SCN2A,,SERPINI1
,PRIMA1,,,,,SCN5A,,ADAM23
,PRMT1,,,,,SEMA6A,,CXADR
,PRX,,,,,SMARCA4,,ESAM
,PSAT1,,,,,SPTBN1,,IGSF11
,PTGFR,,,,,TEP1,,AREG
,PTK2B,,,,,TRIO,,ATP7A
,PYCR1,,,,,WNK1,,AKR1C3
,QKI,,,,,WNK2,,NFE2L2
,RANBP1,,,,,ZNRF3,,AKR1C2
,RARRES1,,,,,SLC16A1,,ST3GAL3
,RASSF5,,,,,SLC25A4,,ST3GAL4
,RECQL4,,,,,NEU4,,MECP2
,REN,,,,,CBLN4,,RGS5
,RPS6KA6,,,,,NAP1L1,,MAT2A
,SCGB2A1,,,,,WISP2,,L1CAM
,SERPINA4,,,,,MAPK11,,NME1
,SERPINH1,,,,,TGIF1,,NME2
,SLC11A2,,,,,THBD,,PFDN5
,SLC15A1,,,,,SORT1,,DST
,SLCO1B1,,,,,RAP1A,,WNT10A
,SLCO1B3,,,,,SULF2,,CSK
,SLCO2A1,,,,,SFTPC,,FLNA
,SOCS6,,,,,VTI1A,,VSNL1
,SOX10,,,,,INPP5D,,MIR25
,SPN,,,,,PRPF6,,CCL17
,SRPX2,,,,,PHF20,,CCL22
,SSTR3,,,,,SASS6,,DNMT3L
,STC2,,,,,MCM8,,KAT2B
,STIM1,,,,,PYGB,,PIWIL1
,SULT2B1,,,,,FDX1,,PIWIL2
,TACR1,,,,,HCK,,PLD2
,TBX5,,,,,TWIST2,,PLD1
,THBS4,,,,,RBM39,,ADCY10
,THY1,,,,,NDN,,PPARA
,TIPIN,,,,,MLC1,,CFTR
,TLE4,,,,,PDRG1,,GHSR
,TLR8,,,,,HES6,,FOXC2
,TNFRSF17,,,,,GNAS-AS1,,FOXE1
,TNFSF15,,,,,SSTR4,,MAP3K7
,TP53INP1,,,,,MLPH,,CUX1
,TRIM63,,,,,C11orf53,,FOXA2
,TTK,,,,,CST3,,FOXF1
,UBD,,,,,CST5,,G3BP2
,UGT2B7,,,,,MAGI3,,BTRC
,ULBP3,,,,,ADM2,,FBXW11
,VILL,,,,,RBM38,,MAP3K10
,WNT7B,,,,,APOLD1,,ISX
,WNT9A,,,,,CD58,,IL10RA
,WWTR1,,,,,BNIP3L,,FAT1
,XDH,,,,,PTPN22,,ULBP3
,PTN,,,,,NEFL,,ULBP1
,ABCA12,,,,,CLDN24,,KCNQ1OT1
,ABCA13,,,,,EDN3,,H19
,ABL2,,,,,RGS19,,CSRP1
,ACVR2A,,,,,HJURP,,IL6ST
,ADAMTS16,,,,,DOK2,,HDAC6
,ADAMTSL3,,,,,GPC1,,CDC25A
,ADCY1,,,,,DLG1,,SLBP
,ADCY2,,,,,RAD1,,BMP2
,AKAP13,,,,,APOD,,NUMB
,AKAP9,,,,,ATF6,,HLA-B
,ALPK2,,,,,CTF1,,TUSC2
,ANK1,,,,,DAB2,,EGFL8
,ANK2,,,,,MR1,,GSDMB
,ANK3,,,,,LIPH,,GSDMA
,ARID1B,,,,,VANGL2,,FSCN1
,ARID2,,,,,NCSTN,,SP3
,ASXL1,,,,,PPOX,,SMURF1
,ASXL3,,,,,ADAR,,HDAC3
,ATG2B,,,,,PMEPA1,,RPRM
,CACNA1A,,,,,NHLH1,,FMNL2
,CACNA1C,,,,,PRDX6,,FMNL3
,CASC5,,,,,PRKAA1,,DAAM1
,CASP8AP2,,,,,CTCFL,,DAAM2
,CCDC88A,,,,,ARHGEF11,,FMNL1
,CDC42BPB,,,,,BHLHE41,,DIAPH2
,CDH10,,,,,TFRC,,DIAPH1
,CDH12,,,,,FGF23,,FMN1
,CDON,,,,,SPRR3,,PRKAR2B
,CENPF,,,,,XCL1,,PPP2R1B
,CHD9,,,,,HMGCS2,,PPP1R7
,COL1A2,,,,,EFNA4,,PPP1CB
,COL4A2,,,,,S100A14,,PPP1R2
,COL4A5,,,,,DVL3,,PPP2R1A
,COL4A6,,,,,PRUNE,,PPP1R3C
,COL6A3,,,,,PRKCB,,PPP1CC
,CSMD2,,,,,TRPC6,,PPP1R1A
,CSMD3,,,,,CHAT,,PPP1R8
,DAAM2,,,,,RSPO2,,S100B
,DCAF12L2,,,,,CLEC3B,,ARFIP2
,DNAH8,,,,,ACSL5,,NLN
,DPP10,,,,,ALDH1A3,,DUOX2
,DYNC1H1,,,,,ABCG5,,IER3
,ELMO1,,,,,BMP6,,ADAM17
,EPHA6,,,,,FIGF,,SGPL1
,FAT2,,,,,TCF21,,SKP1
,FAT3,,,,,ACD,,FAM120A
,FAT4,,,,,ADAMTS14,,ARAP3
,FCGBP,,,,,ADRA1B,,COX5A
,FLNA,,,,,AGPAT9,,CLPP
,FLNC,,,,,AHRR,,ECH1
,FMN2,,,,,AKAP4,,MAD1L1
,HERC1,,,,,AMBP,,ZFX
,HIVEP2,,,,,AMN,,CSF2
,HSPG2,,,,,AOX1,,CCL7
,ITPR2,,,,,ATP2A3,,EZR
,ITPR3,,,,,B3GALT5,,NDST1
,KMT2C,,,,,BCHE,,MIR191
,LAMA3,,,,,BMF,,DRD2
,LAMB4,,,,,BOP1,,CLDN24
,LAMC3,,,,,CA12,,DIXDC1
,LIFR,,,,,CA7,,SMAP1
,LTBP2,,,,,CBX7,,RNF26
,MAGEC1,,,,,CCL15,,ADRM1
,MGA,,,,,CD3EAP,,MFRP
,MXRA5,,,,,CEP55,,TJP2
,MYH1,,,,,CKB,,TNK2
,MYO18B,,,,,CLCA1,,CCDC67
,MYO3A,,,,,CLDN11,,KCNH2
,NAV3,,,,,CLDN8,,PBLD
,NCAM2,,,,,CNR1,,HDAC9
,NELL1,,,,,CR2,,PLAGL2
,NHSL1,,,,,CTHRC1,,RAB5A
,NPC1,,,,,CX3CR1,,IL6R
,NWD2,,,,,CXCL3,,MIR23A
,OBSCN,,,,,CXCR5,,CLDN5
,PCDH17,,,,,CYBRD1,,ACO2
,PCNT,,,,,CYP26A1,,CCL16
,PEG3,,,,,DACT3,,PARP1
,PKHD1,,,,,DLGAP5,,APOC1
,PRKD1,,,,,DSCC1,,ETHE1
,PTPRD,,,,,EIF3C,,CEACAM6
,PTPRM,,,,,ENC1,,POLE
,PTPRS,,,,,EPHA4,,TES
,RALGAPA2,,,,,EPHA8,,PRICKLE2
,RIF1,,,,,FABP2,,PRICKLE1
,RLF,,,,,FANCA,,TGFBR1
,RYR3,,,,,FECH,,MED19
,SALL4,,,,,FGA,,PECAM1
,SAMD9,,,,,FOXF1,,ADAMTS9
,SCN10A,,,,,FUCA1,,RPS12
,SCN4A,,,,,FUT5,,LAMP3
,SCN8A,,,,,FXYD3,,PI3
,SEMA5A,,,,,GALR1,,MARK3
,SETD1B,,,,,GAP43,,PDGFB
,SHROOM2,,,,,GAS1,,NCL
,SIN3A,,,,,GLS2,,APOA1
,SMARCA2,,,,,GNA11,,MT1X
,SPTAN1,,,,,GNL3,,FBXW7
,STAB2,,,,,GRAP2,,PDCD1LG2
,SYNE1,,,,,GSN,,GRN
,TET2,,,,,HAND1,,GPRC5A
,TET3,,,,,HES4,,TRIM44
,TRPS1,,,,,HOXD1,,MIR200B
,TTC28,,,,,HPSE2,,GSDMD
,USP28,,,,,HSPB8,,GSDMC
,USP9X,,,,,IFIT1,,ITLN1
,VPS13A,,,,,IFITM3,,MLN
,VPS13B,,,,,INHBA,,SFRP5
,VPS13C,,,,,ITGA7,,SFRP2
,ZFP64,,,,,ITGAM,,FERMT2
,PHACTR3,,,,,JAZF1,,TIFA
,C19orf26,,,,,KCNN4,,IL17B
,SLC16A4,,,,,KCNQ1OT1,,IL11
,LRRFIP1,,,,,LIPC,,TOB1
,SRSF6,,,,,LTB,,ASPH
,PSMA5,,,,,LTBP4,,LRPPRC
,EYA2,,,,,LY6D,,SMO
,MAFB,,,,,LYPD3,,GADD45G
,ACSL1,,,,,MAD2L2,,GADD45A
,OLFML3,,,,,MAGI2,,HELZ
,MIR149,,,,,MAP2K6,,KLK3
,WFDC2,,,,,MEF2C,,SART3
,HNF4A,,,,,MEIS1,,ERH
,ZNF133,,,,,MEST,,AGO2
,CAB39,,,,,MMP28,,KISS1
,BCL2L15,,,,,MORF4,,PBX2
,ITPA,,,,,MS4A12,,GMNN
,MYLK2,,,,,MYEOV,,CDT1
,GRIN2B,,,,,MYLK,,FGF8
,SEMG1,,,,,MYO1A,,DHDDS
,SLC18A1,,,,,NAA10,,AMY2A
,SLC2A10,,,,,NFE2,,LAMP1
,NCOA6,,,,,NKX2-3,,NPM3
,ACAT1,,,,,NOB1,,P4HB
,CAPZA1,,,,,NR3C1,,SEC63
,SLC17A9,,,,,NR5A2,,PSMB10
,ITCH,,,,,OGN,,NCAM1
,MIR499A,,,,,ORM1,,SPHK1
,CTSZ,,,,,PALB2,,SULF1
,TGM3,,,,,PALM,,SGPP1
,MYT1,,,,,PAPSS2,,ENPP2
,PLAGL2,,,,,PDE3A,,HRAS
,HIPK1,,,,,PHLDA1,,SULT1A1
,RRBP1,,,,,PITX1,,URGCP
,OXT,,,,,PLA2G10,,LDHC
,RALY,,,,,PLAC1,,G6PC2
,CDKN2B-AS1,,,,,PLK4,,PROM1
,S1PR1,,,,,PLS3,,CDH11
,PPP1R7,,,,,PRICKLE1,,MSI2
,PSRC1,,,,,PRICKLE2,,PIK3C3
,HELT,,,,,PRIMA1,,SSBP1
,DCTD,,,,,PRMT1,,PNPT1
,SNED1,,,,,PRX,,EIF5A
,RAB22A,,,,,PSAT1,,ZNF331
,TIMP4,,,,,PTGFR,,STAM
,BOK,,,,,PTK2B,,DDX5
,SH3BP4,,,,,PYCR1,,ACTR3
,C20orf24,,,,,QKI,,DSTN
,ADAMDEC1,,,,,RANBP1,,TXN
,SLC19A3,,,,,RARRES1,,GPR160
,UBE3A,,,,,RASSF5,,LGR6
,VAV3,,,,,RECQL4,,GPR171
,SDC4,,,,,REN,,MMP14
,MIR320A,,,,,RPS6KA6,,SELENBP1
,ARFGAP1,,,,,SCGB2A1,,LIPA
,RTEL1,,,,,SERPINA4,,CD40LG
,NPM2,,,,,SLC11A2,,ADAM12
,NTNG1,,,,,SLC15A1,,MAPK7
,RHBDD1,,,,,SLCO1B1,,CYP2C19
,KCNK15,,,,,SLCO1B3,,MTAP
,OXER1,,,,,SLCO2A1,,PSMB9
,SLCO4A1,,,,,SOCS6,,PRB2
,E2F7,,,,,SOX10,,PGP
,RAD18,,,,,SPN,,IL1R1
,TRIB3,,,,,SRPX2,,TXNL1
,TPTE,,,,,SSTR3,,PPA1
,SLC23A2,,,,,STIM1,,SOS1
,YWHAB,,,,,SULT2B1,,GRB7
,ACOT8,,,,,TACR1,,CFP
,MFF,,,,,TBX5,,ING5
,CDC14A,,,,,THBS4,,GSTA2
,CAPN10,,,,,TIPIN,,GDA
,DCP2,,,,,TLE4,,ASAP1
,PPP6R2,,,,,TLR8,,ENAH
,KIF3B,,,,,TNFRSF17,,LTB4R
,FGF17,,,,,TNFSF15,,HHIPL2
,SNTA1,,,,,TP53INP1,,PNMT
,GLIPR1,,,,,TRIM63,,ALPK2
,GATA5,,,,,UBD,,GRHL2
,POU2AF1,,,,,UGT2B7,,DDX6
,SOX18,,,,,ULBP3,,SLC52A3
,PDLIM2,,,,,VILL,,PRTN3
,RBM15,,,,,WNT7B,,CACNA1A
,PSMD1,,,,,WNT9A,,SSB
,CNOT7,,,,,WWTR1,,SDHC
,MBD3,,,,,XDH,,SOX3
,PEBP4,,,,,PTN,,NOTCH2
,SRMS,,,,,ABCA12,,TRA2B
,IRF2,,,,,ABCA13,,MKRN1
,FANCD2,,,,,ABL2,,NOD1
,BLCAP,,,,,ACVR2A,,IRS1
,MYL9,,,,,ADAMTS16,,ZDHHC2
,BHLHE40,,,,,ADAMTSL3,,SRR
,TRPM8,,,,,ADCY1,,HMGB3
,THADA,,,,,ADCY2,,SERPINB6
,INSM1,,,,,AKAP13,,TYK2
,STK35,,,,,AKAP9,,AMFR
,GSTM4,,,,,ALPK2,,ANLN
,BCAS1,,,,,ANK1,,SCEL
,PDYN,,,,,ANK2,,MLXIPL
,EFNA5,,,,,ANK3,,RPL22
,CDS2,,,,,ARID1B,,CACNA2D3
,CLDN22,,,,,ASXL1,,RASSF10
,SCO2,,,,,ASXL3,,RASSF7
,PTBP2,,,,,ATG2B,,ABCC11
,BTBD3,,,,,CACNA1A,,KCNE2
,CD52,,,,,CACNA1C,,HIST2H2BE
,UGT1A4,,,,,CASC5,,RNF180
,UGT1A5,,,,,CASP8AP2,,SLC2A4
,SIGLEC1,,,,,CCDC88A,,VTN
,UBE2Q1,,,,,CDC42BPB,,CSNK1D
,HSPA6,,,,,CDH10,,HDAC7
,FXR1,,,,,CDH12,,STARD3
,CD160,,,,,CDON,,MIEN1
,OPA1,,,,,CENPF,,ESD
,IL7R,,,,,CHD9,,EBAG9
,PPP1R2,,,,,COL4A2,,TMPRSS13
,SDCCAG8,,,,,COL4A5,,HIF1AN
,GOLPH3L,,,,,COL4A6,,PCBP2
,PSMD4,,,,,COL6A3,,RDX
,S100A5,,,,,CSMD2,,ABCC2
,S100A3,,,,,CSMD3,,MSN
,S100A2,,,,,DAAM2,,ETV5
,AHSG,,,,,DCAF12L2,,CASP1
,PBX1,,,,,DNAH8,,FGF1
,TRA2B,,,,,DPP10,,RRM2
,CA14,,,,,ELMO1,,GNLY
,DEDD,,,,,EPHA6,,RELN
,PRCC,,,,,FAT2,,PDIA3
,IER5,,,,,FAT3,,GPBAR1
,PCK1,,,,,FAT4,,NR1H4
,RASAL2,,,,,FLNA,,PITX1
,RXFP4,,,,,FLNC,,CASK
,GPR161,,,,,FMN2,,MIR335
,SEC16B,,,,,HERC1,,GSN
,GJA8,,,,,HIVEP2,,PTGER2
,PDX1,,,,,HSPG2,,OIP5
,TBX19,,,,,ITPR2,,GUCA2A
,GNB4,,,,,ITPR3,,GUCA2B
,IGF2BP2,,,,,KMT2C,,PDPN
,CD244,,,,,LAMA3,,APTX
,GREM2,,,,,LAMB4,,FBLN1
,FCGR2A,,,,,LAMC3,,DAPK3
,GP5,,,,,LIFR,,CIC
,SETDB1,,,,,LTBP2,,ATF2
,FMO3,,,,,MAGEC1,,OCLN
,FMO4,,,,,MGA,,DAB2IP
,CLCN2,,,,,MXRA5,,MAP3K1
,PRRX1,,,,,MYH1,,KLK12
,CHD1L,,,,,MYO18B,,CASP8
,B4GALT3,,,,,MYO3A,,APAF1
,CARD6,,,,,NAV3,,FOXO3
,KMO,,,,,NELL1,,TGIF1
,MAEL,,,,,NHSL1,,WDR62
,ZMIZ1,,,,,NPC1,,MRE11
,ECM1,,,,,NWD2,,MYOD1
,S100A1,,,,,OBSCN,,RAC2
,SEMA6C,,,,,PCDH17,,CCNG1
,RGS4,,,,,PCNT,,SEMA4C
,RGS7,,,,,PRKD1,,MBL2
,LPP,,,,,PTPRD,,TUSC1
,HRASLS,,,,,PTPRM,,IGF2BP1
,PHGDH,,,,,PTPRS,,NEIL1
,MUC20,,,,,RALGAPA2,,CA13
,S100A13,,,,,RIF1,,EPHB4
,S100A12,,,,,RLF,,IL21
,CHML,,,,,RYR3,,TNS4
,RYR2,,,,,SALL4,,VCAM1
,DNM3,,,,,SAMD9,,FTL
,PKLR,,,,,SCN10A,,RPS29
,USP12,,,,,SCN4A,,ENO1
,RNF40,,,,,SCN8A,,CLDN11
,KIAA0040,,,,,SEMA5A,,HTRA2
,FGF6,,,,,SETD1B,,CCND3
,ETV3,,,,,SHROOM2,,ASL
,PIAS3,,,,,SIN3A,,EIF2AK3
,CLDN16,,,,,SMARCA2,,PNKD
,ATP1B1,,,,,SPTAN1,,TCF4
,OPN3,,,,,STAB2,,MUC15
,AP2M1,,,,,SYNE1,,RPL37
,PLEKHO1,,,,,TET2,,MIR204
,ZNF131,,,,,TET3,,SOST
,PSMB4,,,,,TRPS1,,SRPX2
,HAX1,,,,,TTC28,,SPOCK1
,ADAM15,,,,,USP28,,CACNA2D2
,ACTL6A,,,,,USP9X,,CACNA2D1
,CREB3L4,,,,,VPS13A,,CACNA2D4
,RPL37,,,,,VPS13B,,PGAM5
,SDHC,,,,,VPS13C,,RAB40C
,POU2F1,,,,,ZFP64,,CST1
,CA3,,,,,PHACTR3,,RLF
,SEMA3B,,,,,C19orf26,,DEFA6
,SLC22A1,,,,,SLC16A4,,CHMP7
,CDO1,,,,,LRRFIP1,,CLDN9
,ABCG8,,,,,SRSF6,,RAD50
,ABCA8,,,,,PSMA5,,ACAA1
,ZNF132,,,,,EYA2,,LAMA3
,KCNA1,,,,,MAFB,,KMT2C
,GALNT13,,,,,ACSL1,,FOXO6
,SPINT2,,,,,OLFML3,,DOCK1
,GSG1L,,,,,MIR149,,OR5I1
,LAG3,,,,,WFDC2,,NAIF1
,ABCC11,,,,,HNF4A,,MCAM
,SLC2A9,,,,,ZNF133,,HCG27
,ADHFE1,,,,,CAB39,,XBP1
,SMPD3,,,,,BCL2L15,,EIF2A
,IKZF1,,,,,ITPA,,MYO5B
,PENK,,,,,MYLK2,,PCDH10
,LRRC3B,,,,,GRIN2B,,MFN2
,TMEM25,,,,,SEMG1,,TNFAIP1
,PFKFB1,,,,,SLC18A1,,RAB34
,APOC4,,,,,SLC2A10,,IL7
,PLA2G12B,,,,,NCOA6,,KIF2C
,FGF21,,,,,ACAT1,,ADAM10
,FXYD1,,,,,CAPZA1,,HPR
,HSD11B1,,,,,SLC17A9,,ENO2
,GYPC,,,,,ITCH,,TSC22D3
,SAA4,,,,,MIR499A,,BNIP3L
,APOC3,,,,,CTSZ,,PLOD2
,FBP2,,,,,TGM3,,INTS6
,LCAT,,,,,MYT1,,SLC9A3R1
,MLF1,,,,,PLAGL2,,TRAV10
,C2orf40,,,,,HIPK1,,PTPN4
,ABCA10,,,,,RRBP1,,PTPN3
,ABCA5,,,,,OXT,,TCAP
,ABCA6,,,,,RALY,,IKZF3
,ABCA9,,,,,CDKN2B-AS1,,HMOX1
,ABI3BP,,,,,PPP1R7,,CXXC4
,ACOX1,,,,,PSRC1,,AMPH
,ACVRL1,,,,,HELT,,COL9A2
,ADAM12,,,,,DCTD,,SORCS3
,ADAMTS8,,,,,SNED1,,ZNF365
,ADCY5,,,,,RAB22A,,AJAP1
,ADH1A,,,,,TIMP4,,EYA1
,ADRA2A,,,,,BOK,,PLXND1
,ADRB1,,,,,SH3BP4,,SLC7A5
,AEN,,,,,C20orf24,,CLTC
,AKAP2,,,,,ADAMDEC1,,MLH3
,AKAP7,,,,,SLC19A3,,LAMA1
,ALDH1L1,,,,,UBE3A,,SRI
,ALDH6A1,,,,,VAV3,,ITGB1
,ALKBH2,,,,,SDC4,,ITGB3
,AMELX,,,,,MIR320A,,ITGB2
,AMPD1,,,,,ARFGAP1,,RPL11
,ANGPT2,,,,,RTEL1,,GLTSCR2
,ANLN,,,,,NPM2,,SLC1A2
,ANXA3,,,,,NTNG1,,ANKRD12
,APCDD1,,,,,RHBDD1,,CFLAR
,APLP1,,,,,KCNK15,,ATP1B1
,AQP9,,,,,OXER1,,SUV39H2
,ARHGAP6,,,,,SLCO4A1,,SOSTDC1
,ARNTL2,,,,,E2F7,,DAND5
,ARTN,,,,,RAD18,,GREM2
,ASB9,,,,,TRIB3,,NLRP3
,ASGR1,,,,,TPTE,,RP1
,ASNS,,,,,SLC23A2,,WRN
,ATAD2,,,,,YWHAB,,PARK7
,ATG9B,,,,,ACOT8,,GPR1
,ATIC,,,,,MFF,,PYGB
,ATP11A,,,,,CDC14A,,MAP2K7
,AVPR1B,,,,,CAPN10,,PLXNA1
,AZGP1,,,,,DCP2,,UXT
,BACH2,,,,,PPP6R2,,ZBTB2
,BHMT2,,,,,KIF3B,,MIR149
,BLK,,,,,FGF17,,MALT1
,BTK,,,,,SNTA1,,SPINK1
,BVES,,,,,GLIPR1,,CNPY2
,C3orf35,,,,,GATA5,,DSPP
,C9orf50,,,,,POU2AF1,,MTA2
,CA10,,,,,SOX18,,TNKS2
,CA4,,,,,PDLIM2,,MIR221
,CALCA,,,,,RBM15,,MIR222
,CAPN2,,,,,PSMD1,,AMT
,CARTPT,,,,,CNOT7,,CXCL16
,CASP12,,,,,MBD3,,ARSI
,CBFB,,,,,PEBP4,,PCDH17
,CBLN2,,,,,SRMS,,MZF1
,CCDC80,,,,,IRF2,,GATA2
,CCL13,,,,,BLCAP,,NFYA
,CCL24,,,,,MYL9,,NFYC
,CCL8,,,,,BHLHE40,,TBX5
,CCNB1IP1,,,,,TRPM8,,GATA3
,CCR9,,,,,THADA,,EP300
,CD200R1,,,,,INSM1,,NOL8
,CD3E,,,,,STK35,,DCBLD2
,CD7,,,,,GSTM4,,PTPN14
,CD70,,,,,BCAS1,,PTPN13
,CDC45,,,,,PDYN,,PTPRF
,CDC7,,,,,EFNA5,,LMX1A
,CDHR2,,,,,CDS2,,WEE1
,CDHR5,,,,,CLDN22,,CD70
,CDKN3,,,,,SCO2,,DPP4
,CES1,,,,,PTBP2,,CTSC
,CES3,,,,,BTBD3,,ATF4
,CFD,,,,,CD52,,ATF6
,CHGA,,,,,UGT1A4,,RND1
,CHRFAM7A,,,,,UGT1A5,,GPR161
,CHRNB4,,,,,SIGLEC1,,THY1
,CHST15,,,,,UBE2Q1,,SERPINH1
,CITED2,,,,,HSPA6,,LIPF
,CKS2,,,,,FXR1,,NOS3
,CLCA2,,,,,CD160,,CNN1
,CLCA4,,,,,OPA1,,HLA-DQA1
,CLCN4,,,,,IL7R,,CDK2
,CLDN23,,,,,PPP1R2,,SEL1L
,CLDN6,,,,,SDCCAG8,,HDAC2
,CLDN9,,,,,GOLPH3L,,MAP1LC3B
,CLEC4G,,,,,PSMD4,,CHD8
,CLSPN,,,,,S100A5,,EHMT2
,CMKLR1,,,,,S100A3,,MST1
,COL5A2,,,,,S100A2,,FZD9
,COMP,,,,,AHSG,,CTNNA2
,CORIN,,,,,PBX1,,RNF43
,CPA3,,,,,TRA2B,,MIR409
,CPA4,,,,,CA14,,HNRNPK
,CPA6,,,,,DEDD,,CAPZA2
,CPEB3,,,,,PRCC,,PRSS8
,CPT1A,,,,,IER5,,ADCY3
,CPT2,,,,,PCK1,,IQGAP2
,CTNNA3,,,,,RASAL2,,NRD1
,CXCL17,,,,,RXFP4,,CD276
,CYP11A1,,,,,GPR161,,PLA2G2A
,CYP2F1,,,,,SEC16B,,CFD
,CYTL1,,,,,GJA8,,APLP1
,DAND5,,,,,PDX1,,ITGB5
,DDN,,,,,TBX19,,CBX5
,DDX21,,,,,GNB4,,TCN1
,DEFB1,,,,,IGF2BP2,,LMNA
,DPCR1,,,,,CD244,,TRRAP
,DSG1,,,,,GREM2,,EP400
,DUSP10,,,,,FCGR2A,,HINT1
,DUSP2,,,,,GP5,,NOG
,DYX1C1,,,,,SETDB1,,RAMP3
,DZIP1,,,,,FMO3,,BTF3
,E2F5,,,,,FMO4,,CNDP2
,EBI3,,,,,CLCN2,,LAMA4
,ECT2,,,,,PRRX1,,LAMC2
,EDN2,,,,,CHD1L,,LAMB2
,EEF1E1,,,,,B4GALT3,,LAMB3
,EIF3B,,,,,CARD6,,BLMH
,ELAVL4,,,,,MAEL,,CTNND1
,ENAM,,,,,ZMIZ1,,FBXO39
,ENTPD5,,,,,S100A1,,ECM1
,EPHA10,,,,,SEMA6C,,CTNNBL1
,EPHB6,,,,,RGS4,,SIX3
,EPHX4,,,,,RGS7,,SPON2
,EVI2B,,,,,LPP,,ASPN
,EXOSC4,,,,,HRASLS,,CCL15
,EXTL1,,,,,PHGDH,,FCGBP
,FABP4,,,,,MUC20,,CXXC1
,FAM101A,,,,,S100A13,,NCAPH2
,FAM3D,,,,,S100A12,,MFNG
,FAM83H,,,,,CHML,,IGHA1
,FBLN1,,,,,RYR2,,SCG5
,FBXO32,,,,,DNM3,,PMEPA1
,FERMT2,,,,,PKLR,,SPC24
,FERMT3,,,,,USP12,,SPC25
,FGF8,,,,,RNF40,,NDC80
,FHL1,,,,,KIAA0040,,MUC12
,FJX1,,,,,FGF6,,SLC19A1
,FLI1,,,,,ETV3,,FOLH1
,FNBP1,,,,,PIAS3,,NMT1
,FOSL1,,,,,CLDN16,,GFAP
,FOXA1,,,,,ATP1B1,,ATG7
,FOXP2,,,,,OPN3,,MYH9
,FUT7,,,,,AP2M1,,PLEK
,FXYD5,,,,,PLEKHO1,,CPE
,GALNT8,,,,,ZNF131,,TKTL1
,GAPDHS,,,,,PSMB4,,BCL6B
,GAS2,,,,,HAX1,,PHKA1
,GCKR,,,,,ADAM15,,FZD2
,GCNT3,,,,,ACTL6A,,ANK3
,GFI1,,,,,CREB3L4,,ADAMTS1
,GFI1B,,,,,RPL37,,CAV2
,GJA9,,,,,SDHC,,EIF4EBP1
,GNA13,,,,,POU2F1,,CDIPT
,GNAI1,,,,,CA3,,STMN2
,GP2,,,,,ABCA8,,SEMA6A
,GPR180,,,,,ZNF132,,TRADD
,GPSM2,,,,,KCNA1,,XPO5
,GRM2,,,,,GALNT13,,ZNF706
,GSC,,,,,SPINT2,,ANKRD46
,GSDMC,,,,,GSG1L,,PUF60
,GSTT2,,,,,LAG3,,PLOD3
,GTPBP4,,,,,SLC2A9,,LRRC4C
,GZMA,,,,,ADHFE1,,LEPR
,HEPHL1,,,,,SMPD3,,CRIPT
,HLA-DQA1,,,,,IKZF1,,STOML2
,HMMR,,,,,PENK,,STOM
,HMX2,,,,,LRRC3B,,KAT5
,HOXD10,,,,,TMEM25,,AKT3
,HPCA,,,,,PFKFB1,,TMEM207
,HRASLS2,,,,,APOC4,,CYFIP2
,HRK,,,,,PLA2G12B,,MTMR3
,HSP90AB1,,,,,FGF21,,FBL
,HSPA1B,,,,,FXYD1,,SERPINF2
,HULC,,,,,HSD11B1,,PDCD6
